racer_name,total_points,race_count
Jackson Bingham,2142,30
Jensen Paterson,1888,28
Rachel Miller,1863,28
Val Gibson,1840,31
Dunken Paterson,1820,27
Dan Nelson,1745,27
Jerry Brown,1722,30
Kadence Preston,1721,26
Ariann Apostol,1651,23
Kyrie Bingham,1629,29
Jay Jacobsen,1585,29
Nate Jacobsen,1573,30
Alta Miller,1570,23
Isaac Miller,1549,23
Nate Miller,1541,24
Brody Smith,1533,21
Jacob Miller,1507,24
Brynlee Bingham,1496,30
Brandon Smith,1458,29
Dallan Robbins,1433,23
Tyler Perry,1422,29
Tanner Gillespie,1383,20
Kristi Mcilmoil,1373,27
Andrew Conover,1358,19
Linda Matheson,1316,22
