race_number,category,place,racer_name,plate_number,points,finish_time,venue,race_date,avg_speed
1,PRO,1,Carter Anderson,5,80,0:45:43,Eagle Mountain,2023-04-12,13.6
1,PRO,2,Hunter Hill,10,73,0:47:31,Eagle Mountain,2023-04-12,13.1
1,PRO,3,Andrew Conover,6,66,0:47:33,Eagle Mountain,2023-04-12,13.1
1,PRO,4,Taylor Edwards,8,59,0:48:36,Eagle Mountain,2023-04-12,12.8
1,PRO,5,Haydon Cooper,7,54,0:50:37,Eagle Mountain,2023-04-12,12.3
1,PRO,6,Geoffrey Montague,1,49,0:51:23,Eagle Mountain,2023-04-12,12.1
1,PRO,7,Mark Tuttle,4,44,0:52:07,Eagle Mountain,2023-04-12,11.9
1,PRO,8,Val Gibson,2,39,0:52:46,Eagle Mountain,2023-04-12,11.8
1,PRO,9,Gavin Gunther,9,36,0:52:55,Eagle Mountain,2023-04-12,11.7
1,PRO,10,Stewart Goodwin,3,33,0:53:25,Eagle Mountain,2023-04-12,11.6
1,PRO,11,Wilson Engler,12,30,0:53:58,Eagle Mountain,2023-04-12,11.5
1,SEMI-PRO,1,Lincoln Goodwin,107,80,0:52:01,Eagle Mountain,2023-04-12,11.9
1,SEMI-PRO,2,Dan Nelson,112,73,0:52:11,Eagle Mountain,2023-04-12,11.9
1,SEMI-PRO,3,Richard Abbott,115,66,0:52:53,Eagle Mountain,2023-04-12,11.7
1,SEMI-PRO,4,Preston Edwards,119,59,0:53:17,Eagle Mountain,2023-04-12,11.7
1,SEMI-PRO,5,Matt Parker,102,54,0:53:49,Eagle Mountain,2023-04-12,11.5
1,SEMI-PRO,6,Nate Miller,101,49,0:53:49,Eagle Mountain,2023-04-12,11.5
1,SEMI-PRO,7,Henry Clark,118,44,0:53:51,Eagle Mountain,2023-04-12,11.5
1,SEMI-PRO,8,Luke Roth,120,39,0:54:30,Eagle Mountain,2023-04-12,11.4
1,SEMI-PRO,9,Scott Abbott,116,36,0:54:40,Eagle Mountain,2023-04-12,11.4
1,SEMI-PRO,10,Matt Frisby,105,33,0:55:17,Eagle Mountain,2023-04-12,11.2
1,SEMI-PRO,11,Brandon Smith,125,30,0:55:58,Eagle Mountain,2023-04-12,11.1
1,SEMI-PRO,12,Asa Christensen,126,27,0:57:22,Eagle Mountain,2023-04-12,10.8
1,SEMI-PRO,13,Easton Gray,123,24,0:57:26,Eagle Mountain,2023-04-12,10.8
1,SEMI-PRO,14,Brian Ressa,114,21,0:58:47,Eagle Mountain,2023-04-12,10.6
1,SEMI-PRO,15,Ethan Smith,124,18,0:59:14,Eagle Mountain,2023-04-12,10.5
1,SEMI-PRO,16,Tripp Kay,109,15,1:00:19,Eagle Mountain,2023-04-12,10.3
1,SEMI-PRO,17,Luke Cahoon,104,12,1:00:20,Eagle Mountain,2023-04-12,10.3
1,SEMI-PRO,18,Rhome Goodman,106,9,1:01:35,Eagle Mountain,2023-04-12,10.1
1,SEMI-PRO,19,Nick Birch,103,7,1:01:38,Eagle Mountain,2023-04-12,10.1
1,SEMI-PRO,20,Nathanicus Klarkarooni,110,5,1:04:58,Eagle Mountain,2023-04-12,9.6
1,SEMI-PRO,21,Jason Lux,121,3,1:09:00,Eagle Mountain,2023-04-12,9
1,SEMI-PRO,DNF,Jeff Masse,122,1,,Eagle Mountain,2023-04-12,
1,EXPERT A,1,Aaron Temple,225,80,0:41:40,Eagle Mountain,2023-04-12,11.8
1,EXPERT A,2,Jon Gallagher,217,73,0:44:11,Eagle Mountain,2023-04-12,11.1
1,EXPERT A,3,Caleb Christian,215,66,0:44:27,Eagle Mountain,2023-04-12,11
1,EXPERT A,4,Brandon Hill,220,59,0:45:41,Eagle Mountain,2023-04-12,10.7
1,EXPERT A,5,Jamison Burton,230,54,0:46:27,Eagle Mountain,2023-04-12,10.5
1,EXPERT A,6,Braxden Hansen,219,49,0:46:29,Eagle Mountain,2023-04-12,10.5
1,EXPERT A,7,Thomas Cahoon,203,44,0:46:31,Eagle Mountain,2023-04-12,10.5
1,EXPERT A,8,Bryce Taylor,229,39,0:46:33,Eagle Mountain,2023-04-12,10.5
1,EXPERT A,9,Brian Potempa,221,36,0:46:35,Eagle Mountain,2023-04-12,10.5
1,EXPERT A,10,Cameron Gibby,218,33,0:47:03,Eagle Mountain,2023-04-12,10.4
1,EXPERT A,11,James Lewis,228,30,0:47:51,Eagle Mountain,2023-04-12,10.2
1,EXPERT A,12,Harry Mccoard,208,27,0:47:55,Eagle Mountain,2023-04-12,10.2
1,EXPERT A,13,Bennett Williams,227,24,0:48:23,Eagle Mountain,2023-04-12,10.1
1,EXPERT A,14,Heber Anderson,213,21,0:48:24,Eagle Mountain,2023-04-12,10.1
1,EXPERT A,15,Joe Reese,223,18,0:48:25,Eagle Mountain,2023-04-12,10.1
1,EXPERT A,16,Tanner Wilkerson,226,15,0:49:16,Eagle Mountain,2023-04-12,9.9
1,EXPERT A,17,Quinn Jacobsen,206,12,0:49:43,Eagle Mountain,2023-04-12,9.8
1,EXPERT A,18,Andrew Nelson,209,9,0:50:52,Eagle Mountain,2023-04-12,9.6
1,EXPERT A,19,Bryson Douglass,216,7,0:51:10,Eagle Mountain,2023-04-12,9.6
1,EXPERT A,20,Garrett Allred,202,5,0:51:50,Eagle Mountain,2023-04-12,9.4
1,EXPERT A,21,Cody Shepherd,224,3,0:53:21,Eagle Mountain,2023-04-12,9.2
1,EXPERT A,DNF,Eric Ault,214,2,0:59:37,Eagle Mountain,2023-04-12,8.2
1,EXPERT A,DNF,Patrick Jackman,211,1,,Eagle Mountain,2023-04-12,
1,PRO/EXPERT WOMEN,1,Rachel Miller,301,80,0:49:22,Eagle Mountain,2023-04-12,9.9
1,PRO/EXPERT WOMEN,2,Suzanne Jensen,306,73,0:49:57,Eagle Mountain,2023-04-12,9.8
1,PRO/EXPERT WOMEN,3,Brynlee Bingham,302,66,0:52:21,Eagle Mountain,2023-04-12,9.3
1,PRO/EXPERT WOMEN,4,Brooke Lyman,307,59,0:53:30,Eagle Mountain,2023-04-12,9.1
1,PRO/EXPERT WOMEN,5,Kristi Mcilmoil,304,54,0:56:46,Eagle Mountain,2023-04-12,8.6
1,PRO/EXPERT WOMEN,6,Patty Rice,308,49,1:02:55,Eagle Mountain,2023-04-12,7.8
1,PRO/EXPERT WOMEN,7,Josie Hiatt,309,44,1:14:57,Eagle Mountain,2023-04-12,6.5
1,PRO/EXPERT WOMEN,DNF,Ellie Jackson,303,1,,Eagle Mountain,2023-04-12,
1,EXPERT B,1,Loren Krieger,406,80,0:47:54,Eagle Mountain,2023-04-12,10.2
1,EXPERT B,2,Mike Madsen,407,73,0:48:31,Eagle Mountain,2023-04-12,10.1
1,EXPERT B,3,James Howton,404,66,0:48:45,Eagle Mountain,2023-04-12,10
